William,Garcia,258.1809089,t
Barbara,Freeman,141.890534,t
Rebecca,Zimmerman,293.373272,t
Patricia,Velasquez,249.9479246,t
Ronnie,Clark,272.908659,t
Timothy,Rose,65.74326968,f
Joshua,Ramirez,64.54997394,f
Joseph,Dawson,111.0171384,t
Robert,Rios,87.31797988,f
Karen,Mitchell,277.2511543,t
Patrick,Greene,7.259436115,f
Matthew,Nelson,295.3146887,t
Melissa,Smith,70.04282129,f
Amy,Johnson,78.26892103,f
Edgar,Ellis,208.6777041,t
Olivia,Rivera,104.8094951,t
Kelly,Leblanc,40.20849552,f
Jennifer,Anderson,17.90633335,f
Tammy,Clark,125.0672217,t
Jennifer,Marquez,21.63604687,f
Cory,Silva,36.24541189,f
Mackenzie,Moon,264.9268902,t
Larry,Wade,126.3049676,t
Diana,Shaffer,37.50406255,f
Stephen,Smith,168.1895294,t
Kendra,White,265.1085587,t
Lindsey,Williamson,280.3953974,t
Wanda,Hale,106.0997985,t
Jillian,Davies,10.64366962,f
Douglas,Thomas,119.0382607,t
Jennifer,Davis,153.0526538,t
George,Holmes,44.38614111,f
Marissa,Webster,105.4378241,t
Anna,Boyle,80.47552199,f
Paul,Gillespie,174.6815735,t
Autumn,Johnston,132.780344,t
Tracey,Norton,118.0225331,t
Amy,Flynn,128.6739798,t
Melissa,Davis,72.58977535,f
Vincent,Mitchell,78.43990466,f
Gregory,Martin,144.6915752,t
Robert,Coffey,117.3205633,t
Melissa,Montgomery,101.4845534,t
Krystal,Cunningham,296.536062,t
Scott,Lee,163.4878508,t
James,Murray,28.59025756,f
Hunter,Stokes,3.582742282,f
Jasmine,Austin,33.90382995,f
Grant,Summers,51.78034157,f
Sarah,Spencer,271.6023676,t
Brianna,Lewis,192.617676,t
Rhonda,Martin,145.6455553,t
Dennis,Lawrence,161.3584294,t
Michael,Stewart,245.4400987,t
William,Wilkins,22.90555849,f
Rebecca,Jimenez,142.590737,t
Kathleen,Roman,15.10135967,f
Billy,Smith,22.53181535,f
Nicole,James,101.913846,t
Allison,Holt,12.7990102,f
Amanda,Johnson,19.17461281,f
Michael,Spencer,171.890946,t
Brandi,King,30.05366744,f
Alexander,King,23.47063099,f
Nicole,Sampson,207.6385148,t
Savannah,Bell,22.05563858,f
Jessica,Harris,103.7031099,t
Lauren,Gallagher,266.215602,t
Jack,Townsend,93.27791862,f
